CIDADE,UF,CANAL_VENDAS,CURSO,DS_TURNO_INSCRICAO,FL_MATRICULADO,VL_MENSALIDADE,MODALIDADES,IDADE,cluster
289,19,2,3,1,1,65.0,3,19.868927204607434,0
275,11,14,3,1,1,65.0,3,21.038013496591528,0
335,19,2,3,1,1,65.0,3,47.94890146828156,0
289,19,13,3,1,1,110.0,3,18.39319532784063,2
289,19,2,4,1,1,110.0,1,25.29272098545167,2
289,19,2,4,1,1,110.0,1,21.217778,2
289,19,2,4,1,1,110.0,1,22.620523746630884,2
1,0,2,4,1,1,110.0,1,25.05178516883668,0
289,19,2,4,1,1,110.0,1,21.05170303162647,2
289,19,13,4,1,1,110.0,1,44.063811425364875,2
218,4,8,4,1,1,110.0,1,25.670552152416082,2
319,4,8,4,1,1,110.0,1,19.373366036342514,2
331,26,12,4,1,1,110.0,1,28.353701019264822,2
151,4,12,4,1,1,110.0,1,22.37685002300891,2
350,26,12,4,1,1,110.0,1,35.60367877377039,2
289,11,0,5,0,1,110.0,2,25.1421361000673,2
289,19,12,6,1,1,110.0,2,20.27961325565571,2
289,19,13,6,1,1,110.0,2,37.54759274873223,2
289,19,12,16,0,1,110.0,2,25.380334009675302,2
350,19,12,17,1,1,110.0,2,20.70398884173893,2
289,26,12,17,1,0,73.75,2,37.325822281166154,3
162,26,6,7,1,1,65.0,3,21.217778,0
61,8,6,7,1,1,65.0,3,20.791601865962562,0
33,18,6,7,1,1,65.0,3,20.624589538536263,0
154,11,10,7,1,1,65.0,3,25.478898661926888,0
206,2,2,7,1,1,65.0,3,44.15963817060947,0
289,19,2,7,1,1,65.0,3,21.05170303162647,0
366,11,10,7,1,1,65.0,3,22.075680252240172,0
2,4,6,8,0,1,65.0,3,23.261193986266196,0
329,26,2,8,1,1,65.0,3,25.708882850513923,0
350,26,11,8,1,1,65.0,3,18.431526025938467,2
103,13,10,8,1,0,65.0,3,29.47350498512312,3
205,1,12,8,1,0,65.0,0,56.68008691356792,3
154,11,19,8,1,1,65.0,3,31.132676631358155,0
92,27,7,8,1,1,65.0,3,37.706391355137555,0
180,11,7,8,1,1,65.0,3,20.79707767997654,0
323,6,7,8,1,1,65.0,0,21.21871535905277,2
279,6,6,8,1,1,65.0,3,21.870337226716035,0
345,11,10,8,1,1,65.0,0,30.79317616249158,2
289,19,2,8,1,1,65.0,3,29.134004516256546,0
289,19,2,8,1,1,65.0,3,18.434263932945456,0
329,26,2,8,1,1,65.0,3,20.50138372322178,0
365,11,2,8,0,1,65.0,3,25.01893028475282,0
140,14,2,8,1,1,65.0,0,31.704899195818754,0
174,18,2,8,1,1,110.0,0,29.322920099738752,2
185,21,3,8,1,1,65.0,3,20.561617677375526,0
333,4,12,8,1,0,65.0,0,44.37045701014758,3
216,9,12,8,1,1,65.0,0,41.81598977262731,1
252,2,12,8,1,0,65.0,0,50.78811103452865,3
346,10,12,8,1,1,65.0,3,23.929243295971393,0
298,4,12,8,1,1,65.0,3,32.164867572992826,0
110,23,12,8,1,0,65.0,0,31.6939475677908,3
202,3,12,8,1,1,110.0,0,33.94998294154933,2
50,12,14,8,1,1,65.0,3,24.326239811984724,0
228,20,15,8,1,1,65.0,0,26.018266342303622,2
62,21,20,8,1,1,65.0,3,28.66582241806151,0
126,6,12,8,1,1,65.0,3,21.194074195989874,0
289,19,13,8,1,1,110.0,0,25.265341915381782,2
24,4,12,18,1,1,110.0,2,22.899790261343714,0
350,9,12,18,1,1,110.0,2,19.756673017320907,2
350,10,12,18,1,1,110.0,2,27.51042566111236,2
289,19,13,18,1,1,110.0,2,21.21871535905277,2
384,9,2,9,1,1,65.0,3,35.82271133432947,0
9,23,2,9,1,1,65.0,3,31.27504779572156,0
54,7,2,9,1,1,110.0,3,46.04331819141756,0
343,19,12,9,1,1,65.0,0,23.299524684364034,2
263,10,7,9,1,1,65.0,3,19.241946500007067,0
73,17,6,9,1,1,65.0,3,20.02498790400578,0
330,11,12,10,1,1,110.0,2,21.60749815404514,2
23,11,12,10,1,1,110.0,2,20.238544650550885,2
